V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
59501 2007 5 26 10055 10074 10043 287 311 274 335 85 74 0 32766 44 36 53 11 80 11 83 
59501 2007 5 27 10054 10092 10043 269 312 229 293 84 61 225 32766 38 20 97 12 162 13 24 
59501 2007 5 28 10064 10080 10031 270 305 244 300 84 71 9 32766 25 16 53 10 89 6 26 
59501 2007 5 29 10066 10088 10044 282 309 255 308 81 63 0 32766 34 19 49 10 76 11 100 
59501 2007 5 30 10073 10090 10053 288 328 261 312 80 55 0 32766 52 18 41 5 72 7 108 
59501 2007 5 31 10063 10088 10046 271 301 254 311 87 74 92 32766 37 25 41 6 59 6 24 
59501 2007 6 1 10041 10070 10019 284 306 263 332 86 76 10 32766 26 28 62 10 88 13 45 
59501 2007 6 2 10036 10050 10020 282 312 250 323 85 68 330 32766 27 33 70 11 104 10 91 
59501 2007 6 3 10052 10067 10036 285 312 254 336 87 75 2 32766 36 24 67 11 94 11 103 
59501 2007 6 4 10056 10072 10037 291 311 274 341 85 73 0 32766 41 21 48 11 70 11 25 
59501 2007 6 5 10042 10056 10022 289 309 275 331 83 73 32700 32766 42 38 77 11 106 11 72 
59501 2007 6 6 10044 10059 10025 288 315 267 328 83 67 0 32766 26 27 54 11 80 10 39 
59501 2007 6 7 10042 10055 10028 263 303 250 314 92 70 285 32766 8 15 67 12 106 13 0 
59501 2007 6 8 10039 10067 10028 253 280 234 307 95 85 807 32766 7 24 85 14 149 15 0 
59501 2007 6 9 10036 10049 10016 264 297 236 314 91 79 209 32766 12 19 76 14 138 15 0 
59501 2007 6 10 10020 10047 10001 243 255 227 283 94 88 972 32766 7 23 83 11 139 12 0 
59501 2007 6 11 10008 10023 9998 268 297 242 303 87 72 3 32766 12 14 42 11 63 10 56 
59501 2007 6 12 10019 10031 10002 273 298 255 323 89 76 8 32766 4 15 41 10 65 11 25 
59501 2007 6 13 10024 10040 10010 270 297 249 325 91 83 417 32766 30 31 84 12 129 12 0 
59501 2007 6 14 10029 10046 10020 252 286 240 300 94 84 239 32766 6 26 78 12 129 13 0 
59501 2007 6 15 10039 10056 10027 264 291 246 305 89 71 187 32766 12 16 41 11 59 11 58 
59501 2007 6 16 10043 10054 10029 278 310 257 305 82 64 32700 32766 28 17 37 10 58 11 40 
59501 2007 6 17 10053 10067 10040 263 280 251 315 93 82 74 32766 22 19 43 5 74 11 0 
59501 2007 6 18 10057 10071 10037 275 313 249 305 84 62 0 32766 25 13 31 6 49 6 50 
59501 2007 6 19 10061 10078 10041 286 322 253 314 81 57 0 32766 37 19 40 11 58 6 97 
59501 2007 6 20 10060 10073 10047 289 319 259 308 78 61 0 32766 47 15 35 6 59 7 105 
59501 2007 6 21 10059 10071 10038 294 321 260 310 76 63 0 32766 42 14 46 11 64 11 101 
59501 2007 6 22 10059 10069 10044 301 330 268 315 75 57 0 32766 55 19 51 11 75 11 97 
59501 2007 6 23 10067 10080 10051 297 320 265 313 76 54 0 32766 52 28 56 10 83 10 93 
59501 2007 6 24 10059 10078 10033 298 320 283 337 81 69 6 32766 59 37 65 11 99 11 91 
59501 2007 6 25 10041 10061 10022 293 312 283 328 81 67 0 32766 53 37 73 11 97 10 94 
59501 2007 6 26 10032 10048 10012 294 321 276 326 80 63 10 32766 49 31 60 10 88 11 77 
59501 2007 6 27 10031 10049 10018 286 303 250 328 84 75 474 32766 45 19 40 6 63 5 13 
59501 2007 6 28 10049 10062 10036 255 280 244 308 94 85 827 32766 18 18 63 9 105 11 0 
59501 2007 6 29 10057 10071 10042 270 308 252 320 90 69 119 32766 16 16 57 6 122 6 54 
59501 2007 6 30 10060 10070 10044 268 303 242 303 86 71 531 32766 51 29 70 12 112 13 13 
59501 2007 7 1 10064 10082 10053 273 311 240 310 86 69 70 32766 26 25 62 9 116 9 56 
59501 2007 7 2 10064 10080 10048 291 317 271 332 83 65 1 32766 23 14 38 5 61 6 64 
59501 2007 7 3 10057 10075 10044 293 322 268 328 81 63 0 32766 48 23 49 6 83 6 105 
59501 2007 7 4 10046 10064 10034 294 318 271 326 80 66 57 32766 40 24 42 5 68 7 114 
59501 2007 7 5 10047 10059 10034 292 315 278 326 81 65 8 32766 43 29 58 9 103 10 66 
59501 2007 7 6 10059 10066 10045 291 316 271 328 82 66 32 32766 43 22 55 11 79 10 83 
59501 2007 7 7 10068 10082 10051 300 324 276 336 80 67 9 32766 50 23 50 11 73 11 95 
59501 2007 7 8 10044 10072 10027 298 318 281 322 77 66 32700 32766 58 27 56 10 87 11 94 
59501 2007 7 9 10021 10039 10001 298 317 274 318 76 65 0 32766 57 30 58 10 82 12 111 
59501 2007 7 10 10009 10024 9988 295 321 282 324 79 66 0 32766 68 39 67 10 98 10 101 
59501 2007 7 11 9997 10010 9976 296 318 273 329 80 67 0 32766 46 44 61 11 90 9 113 
59501 2007 7 12 9980 10000 9956 297 322 277 333 80 63 0 32766 52 28 55 11 79 10 72 
59501 2007 7 13 9971 9987 9952 295 317 277 338 83 71 0 32766 40 27 65 11 93 11 98 
59501 2007 7 14 9990 10002 9967 295 322 276 347 85 70 0 32766 58 35 61 10 91 11 108 
59501 2007 7 15 10022 10031 9998 300 326 283 341 81 61 1 32766 57 29 72 10 103 10 98 
59501 2007 7 16 10040 10056 10026 297 319 258 345 83 69 277 32766 73 23 61 11 122 11 77 
59501 2007 7 17 10051 10063 10039 297 315 275 340 82 73 28 32766 54 34 54 10 77 10 83 
59501 2007 7 18 10061 10076 10048 297 317 281 338 81 73 25 32766 33 35 61 11 86 10 104 
59501 2007 7 19 10064 10081 10050 294 313 278 340 83 74 3 32766 63 42 67 11 99 11 109 
59501 2007 7 20 10068 10085 10047 291 314 274 330 82 72 0 32766 72 37 72 11 103 11 115 
59501 2007 7 21 10063 10076 10050 292 315 271 325 81 67 0 32766 65 34 72 10 111 10 114 
59501 2007 7 22 10059 10073 10042 289 316 272 331 83 69 0 32766 53 42 66 10 102 10 99 
59501 2007 7 23 10068 10078 10050 288 316 269 330 84 65 0 32766 53 41 66 11 104 12 117 
59501 2007 7 24 10080 10092 10062 290 313 271 323 81 70 0 32766 64 32 68 10 93 11 118 
59501 2007 7 25 10081 10098 10060 291 319 265 306 76 60 0 32766 65 23 54 11 77 10 118 
59501 2007 7 26 10077 10088 10063 291 322 260 295 74 56 0 32766 52 19 43 11 69 11 118 
59501 2007 7 27 10077 10094 10063 298 332 265 297 71 54 0 32766 45 24 42 6 72 5 118 
59501 2007 7 28 10077 10093 10055 302 338 269 313 74 51 0 32766 34 24 43 11 68 6 107 
59501 2007 7 29 10075 10096 10056 299 331 258 323 77 54 153 32766 32766 19 44 11 65 11 93 
59501 2007 7 30 10073 10085 10053 303 327 274 317 74 56 0 32766 50 20 55 10 79 11 97 
59501 2007 7 31 10059 10076 10038 298 323 273 307 74 57 0 32766 64 26 64 10 89 11 108 
59501 2007 8 1 10048 10063 10022 298 322 272 315 76 61 0 32766 44 24 62 11 88 11 112 
59501 2007 8 2 10040 10055 10020 297 321 273 325 78 65 0 32766 67 37 60 10 84 11 109 
59501 2007 8 3 10043 10060 10024 302 326 274 320 75 60 0 32766 66 21 58 11 80 10 116 
59501 2007 8 4 10038 10053 10020 301 337 273 320 76 54 0 32766 59 20 44 6 74 7 114 
59501 2007 8 5 10047 10057 10037 286 319 263 295 76 62 17 32766 67 27 57 6 106 6 88 
59501 2007 8 6 10053 10070 10031 276 317 249 303 83 64 222 32766 44 23 51 6 90 6 54 
59501 2007 8 7 10018 10059 9993 294 331 265 304 76 46 10 32766 56 18 40 7 69 6 99 
59501 2007 8 8 9956 10006 9929 284 335 258 313 81 53 142 32766 37 23 62 4 115 4 0 
59501 2007 8 9 9943 9953 9929 277 296 268 313 85 75 52 32766 34 37 56 4 116 4 0 
59501 2007 8 10 9951 9967 9934 259 277 252 304 91 82 720 32766 12 19 54 5 97 5 0 
59501 2007 8 11 9923 9961 9912 260 276 247 308 92 85 369 32766 5 42 77 11 129 10 0 
59501 2007 8 12 9949 9967 9919 267 278 254 326 93 88 227 32766 6 39 86 11 125 10 0 
59501 2007 8 13 9985 10001 9967 278 301 264 342 92 81 32700 32766 20 33 60 11 91 11 0 
59501 2007 8 14 9980 10006 9958 261 276 247 316 93 87 295 32766 0 20 68 14 123 13 0 
59501 2007 8 15 9958 9974 9942 261 285 249 308 92 78 878 32766 12 10 57 10 92 5 0 
59501 2007 8 16 9992 10009 9969 265 281 254 307 89 82 39 32766 6 31 65 5 115 5 0 
